X1,X2,y
0.31940388883889725,0.7629593742689353,1.3226770395454077e-79
0.5743292145098291,0.879898104984359,1.0330782375230975e-46
0.7310236309563586,0.7329998764152272,7.710875114502849e-16
0.8403534169072556,0.26473161399676703,3.341771007676023e-124
0.6501140597987644,0.6815263520602101,-0.0036060626443634764
0.41043713662518566,0.14755429902998185,-2.1592490357331095e-54
0.31269115679477755,0.07872277794971883,-2.0890932702320842e-91
0.6834181688515067,0.8610574643936101,2.5350011535584046e-40
0.08250725182080587,0.403487506426324,3.6067711901420254e-81
0.8838898288181171,0.5822539743824439,6.229856468168659e-48
0.313131,0.333333,9.651055062485071e-15
0.515151,0.878787,1.0422553378526778e-53
0.636364,0.676768,-0.014641144265279763
0.192105,0.571053,-7.307175171865465e-53
0.587051,0.353482,-4.6746764878357124e-23
0.672735,0.190266,7.707272189084562e-82
0.696829,0.577612,7.474096842056762e-06
0.602765,0.773888,6.618176622944614e-16
0.645355,0.665341,0.011236118978605795
