0.1914470845,0.0381933714,0.6074178109,0.4145841370
0.7586529492,0.5365177381,0.6560003817,0.3603415530
0.4383498727,0.8043397048,0.2102452664,0.1512948161
0.7060508341,0.5341919612,0.2642433452,0.4820875490
0.8364779930,0.1936096469,0.6638926970,0.7856488829
0.6834322499,0.1186626418,0.8290459097,0.5675766059
0.5536214795,0.6673499787,0.3238058192,0.8148697537
0.3523562695,0.3222415320,0.1169793676,0.4731125216
0.1537857059,0.7293816904,0.4225984367,0.4430741656
0.4634422674,0.6300245101,0.1079064558,0.9576438987
0.6774911484,0.3585095065,0.4795922245,0.0728804811
0.5839734125,0.1472426462,0.3480974621,0.4286146510
0.3068887187,0.3168781266,0.6226344813,0.0953990581
0.5111417749,0.8179569972,0.7287104181,0.1123536231
0.4389333758,0.7740917617,0.3781670864,0.9336962068
0.2241890233,0.8464804905,0.8794841797,0.8785156842
0.7252617232,0.4798704863,0.0889468426,0.7597602201
0.3554816095,0.6396193667,0.4176176789,0.1226038397
0.1198792258,0.8625403060,0.6433313263,0.8498038287
0.1268846701,0.1534296213,0.7701621876,0.1905181051
0.6661820000,0.7493910000,0.9993850000,0.9953000000
0.4032890000,0.4707550000,0.9876180000,0.9975290000
0.8753120000,0.9302110000,0.9649530000,0.9521720000
0.9410720000,0.9564570000,0.9987380000,0.9076090000
0.9833510000,0.9988490000,0.9854990000,0.2546460000
0.9710900000,0.9084410000,0.9714080000,0.8872760000
0.9788820000,0.9890250000,0.9606220000,0.8952340000
1.0000000000,1.0000000000,1.0000000000,0.8500000000
1.0000000000,1.0000000000,1.0000000000,0.9700000000
