0.2726238220,0.3244953623,0.8971088103,0.8329511521,0.1540626854,0.7958636235
0.5430025770,0.9246939037,0.3415674592,0.6464858491,0.7184403268,0.3431326637
0.0908322480,0.6615293818,0.0659309106,0.2585770080,0.9634528514,0.6402653979
0.1188669749,0.6150549402,0.9058163852,0.8553003036,0.4136314288,0.5852356278
0.6302176412,0.8380968963,0.6800130516,0.7318950901,0.5267367145,0.3484292134
0.7649191728,0.2558829170,0.6090842239,0.2180790419,0.3229427692,0.0957936551
0.0578955420,0.4916722186,0.2474222237,0.2181184364,0.4204283295,0.7309698429
0.1952518811,0.0792266506,0.5545804617,0.1705668197,0.0149441764,0.1070317101
0.6423029816,0.8368745468,0.0217926915,0.1014880095,0.6830708283,0.6924164003
0.7899425542,0.1955450053,0.5756233261,0.0736591873,0.2590491743,0.0510998642
0.5284973277,0.4574243553,0.3600956902,0.3620455064,0.8168909784,0.6374763663
0.7226152153,0.0118128367,0.0636459129,0.1651731060,0.0792441460,0.3599516574
0.0756649212,0.3345021189,0.1327327373,0.6083123613,0.9183859177,0.8223307855
0.9424508394,0.3774396214,0.4861223262,0.2287910831,0.0826317471,0.7119575509
0.1486470214,0.0339433634,0.7288056496,0.3160664557,0.0217693828,0.5169177573
0.8171123888,0.5481682309,0.1033475777,0.1243695458,0.7282348211,0.4496736122
0.4176262927,0.0640999814,0.2456687739,0.5590407961,0.1915313840,0.2546409231
0.7262856637,0.4648958053,0.9245705141,0.8072453951,0.6354383952,0.1434178744
0.3198104328,0.5200975876,0.2906777543,0.8767066779,0.4950346891,0.6190824996
0.8798712776,0.3979619902,0.0036345648,0.9569906397,0.2645137325,0.1148692414
0.5412407805,0.6314031427,0.0319020463,0.4499815599,0.7986528165,0.6337042906
0.2263479213,0.1150258139,0.8247496554,0.9453837249,0.9053115276,0.9510139152
0.6868525699,0.0410172078,0.0075730107,0.2850089958,0.6915684837,0.6555428970
0.1759775366,0.6244164971,0.2955419835,0.4695527590,0.0977697705,0.7281410813
0.8816467368,0.2044501884,0.4144743585,0.4203846784,0.2649150148,0.7306601869
0.0666105106,0.5280450660,0.8160951953,0.9610171372,0.0865093337,0.7777882160
0.9324663796,0.4888118879,0.2586077418,0.9562434362,0.1904278104,0.5198517580
0.8468669652,0.1424291716,0.0606685898,0.7562921280,0.5523982952,0.0813060872
0.8062820836,0.3241223747,0.7260760131,0.1487121315,0.7193764015,0.3628839784
0.4768231287,0.3409419503,0.0143352324,0.8801395631,0.9986546965,0.0796640186
0.0453830000,0.0027630000,0.2363380000,0.4864050000,0.3847060000,0.6893110000
0.0200430000,0.8737560000,0.2748370000,0.6097190000,0.3577420000,0.6792410000
0.1889280000,0.0369650000,0.2358920000,0.9778990000,0.4462910000,0.4075700000
0.0815720000,0.1818940000,0.1718580000,0.1592930000,0.3702510000,0.7738730000
0.0142090000,0.0456730000,0.8724490000,0.0840660000,0.4038220000,0.7238740000
0.1145920000,0.1529030000,0.1346580000,0.1803090000,0.3269850000,0.8654520000
0.0666610000,0.1160100000,0.2837320000,0.1922330000,0.3877120000,0.7916590000
0.1419220000,0.1150340000,0.2037900000,0.2825290000,0.3411040000,0.7321890000
0.1308640000,0.1496660000,0.2746200000,0.2993900000,0.3450330000,0.6437520000
