0.7281861047,0.1546925696,0.7325516687,0.6939965091,0.0564013105
0.2423843472,0.8440999723,0.5778090988,0.6790212843,0.5019528879
0.7295226101,0.7481062003,0.6797746409,0.3565522793,0.6710536835
0.7706202417,0.1144037442,0.0467799319,0.6483242845,0.2735490527
0.6188122987,0.3318021372,0.1872878678,0.7562384740,0.3288347983
0.7849580941,0.9106823491,0.7081201035,0.9592254290,0.0049114959
0.1451107857,0.8966845977,0.8963222346,0.7262715367,0.2362719909
0.9450690681,0.2884590506,0.9788057636,0.9616555870,0.5980159364
0.1257201550,0.8627246922,0.0285443322,0.2466052719,0.7512062409
0.7575943554,0.3558314149,0.0165228997,0.4342072050,0.1124330444
0.5367969035,0.3087809072,0.4118792851,0.3882251767,0.5225283039
0.9577396689,0.2356685723,0.0991458496,0.1568059339,0.0713173731
0.6293078953,0.8034836781,0.8114084390,0.0456131858,0.1106244620
0.0217353077,0.4280842403,0.8359394371,0.4894886594,0.5110817347
0.4393442639,0.6989238329,0.4268202222,0.1094760851,0.8778884681
0.2589055738,0.7936777083,0.6421139049,0.1966734640,0.5931031768
0.4321659329,0.7156178128,0.3418191030,0.7049998808,0.6149618447
0.7828798233,0.5363358585,0.4432835567,0.8596998258,0.0103259907
0.9217761980,0.9318712162,0.4148763698,0.5950572656,0.7356256864
0.1266789171,0.2914703015,0.0645284767,0.6805146029,0.8928191911
0.3767890000,0.2020780000,0.5376000000,0.9320250000,0.1690920000
0.1078800000,0.5410040000,0.3425910000,0.9350510000,0.3075430000
0.4059810000,0.0015660000,0.5441110000,0.9510320000,0.1465620000
0.4330070000,0.1670380000,0.5594520000,0.6613200000,0.0395410000
0.5323520000,0.2292330000,0.3095630000,0.8088730000,0.0226820000
0.5177900000,0.1091680000,0.6483130000,0.6732490000,0.1339730000
0.4765860000,0.1312120000,0.6736620000,0.6974270000,0.1998040000
0.5191160000,0.0516840000,0.6660520000,0.6781890000,0.1212540000
0.5174460000,0.1678640000,0.6614110000,0.6659380000,0.1430360000
