X1,X2,X3,y,y_fit
0.1715252068810621,0.3439168702758373,0.2487372010692387,-0.11212220046256897,-0.11212220046256897
0.2421144606124933,0.6440742697791076,0.27243280919945523,-0.08796286022736445,-0.08796286022736445
0.5349057202251034,0.39850091536763166,0.17338872894567725,-0.111414654295324,-0.111414654295324
0.49258141463713434,0.6115931882759961,0.3401763860035727,-0.034835313350078584,-0.034835313350078584
0.13462166632061112,0.2199172404897456,0.45820621964922703,-0.04800758439218157,-0.04800758439218157
0.3455232705197697,0.9413598305723256,0.2693634790694064,-0.11062091307282658,-0.11062091307282658
0.151836632374168,0.43999061896644376,0.990881866558951,-0.3989255131463011,-0.3989255131463011
0.6455028351793182,0.3971429395797703,0.9197713377032198,-0.11386851478863991,-0.11386851478863991
0.7469119451655177,0.28419630922573424,0.22629985488752546,-0.13146060864136055,-0.13146060864136055
0.17047699396968063,0.697032400686134,0.14916943370830027,-0.09418956091057398,-0.09418956091057398
0.2205493370831766,0.2978252442230862,0.34355534441672586,-0.04694740582651916,-0.04694740582651916
0.6660136587669346,0.6719851513369297,0.2462952966705313,-0.10596503573558178,-0.10596503573558178
0.046808949722497384,0.2313602407834674,0.7706175921643,-0.11804825644688696,-0.11804825644688696
0.6000972824185008,0.7251357252228826,0.06608864149534865,-0.036377828071632486,-0.036377828071632486
0.9659948489488087,0.8611196897300882,0.5668291312870885,-0.05675837155397648,-0.05675837155397648
0.275384,0.203658,0.827194,-0.07839239995453903,-0.07839239995453903
0.110567,0.312374,0.458669,-0.017089618610590815,-0.017089618610590815
0.28528,0.396249,0.487717,-0.00898486080208592,-0.00898486080208592
0.717501,0.984764,0.007434,-0.12928937323660813,-0.12928937323660813
0.507999,0.126286,0.498177,-0.03658447425076766,-0.03658447425076766
0.261192,0.314806,0.461913,-0.012010129497210038,-0.012010129497210038
0.215348,0.376669,0.506634,-0.02569550545674887,-0.02569550545674887
0.34194,0.383375,0.436052,-0.006363262195730081,-0.006363262195730081
0.366844,0.433619,0.499863,-0.009456625735815145,-0.009456625735815145
