0.1715252069,0.3439168703,0.2487372011
0.2421144606,0.6440742698,0.2724328092
0.5349057202,0.3985009154,0.1733887289
0.4925814146,0.6115931883,0.3401763860
0.1346216663,0.2199172405,0.4582062196
0.3455232705,0.9413598306,0.2693634791
0.1518366324,0.4399906190,0.9908818666
0.6455028352,0.3971429396,0.9197713377
0.7469119452,0.2841963092,0.2262998549
0.1704769940,0.6970324007,0.1491694337
0.2205493371,0.2978252442,0.3435553444
0.6660136588,0.6719851513,0.2462952967
0.0468089497,0.2313602408,0.7706175922
0.6000972824,0.7251357252,0.0660886415
0.9659948489,0.8611196897,0.5668291313
0.2753840000,0.2036580000,0.8271940000
0.1105670000,0.3123740000,0.4586690000
0.2852800000,0.3962490000,0.4877170000
0.7175010000,0.9847640000,0.0074340000
0.5079990000,0.1262860000,0.4981770000
0.2611920000,0.3148060000,0.4619130000
0.2153480000,0.3766690000,0.5066340000
0.3419400000,0.3833750000,0.4360520000
0.3668440000,0.4336190000,0.4998630000
